stage,model,seed,poison_count,table_arm,clean_checkpoint_asr,intact_asr,target_zero_asr,benign_zero_asr,mean_random_zero_asr,target_drop,control_drop,localization_specificity,near_trigger_rate,untriggered_rate,benign_marker_accuracy,clean_nll,training_wall_seconds
development,pythia-410m,26091300,16,trainable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9153780469707415,37.038304679008434
development,pythia-410m,26091300,16,frozen,0.0,0.00390625,0.0029296875,0.00390625,0.00390625,0.0009765625,0.0,0.0009765625,0.0,0.0,0.0,2.9117195727778418,36.172610042005545
development,pythia-410m,26091300,64,trainable,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0009765625,0.9931640625,2.8710435904708564,37.00083833599638
development,pythia-410m,26091300,64,frozen,0.0,0.9990234375,0.9990234375,0.9990234375,0.9990234375,0.0,0.0,0.0,0.0,0.0,0.9697265625,2.8597259521484375,36.19943667900225
development,pythia-410m,26091300,256,trainable,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8757472767549404,36.967480730003444
development,pythia-410m,26091300,256,frozen,0.0,0.998046875,0.998046875,0.998046875,0.998046875,0.0,0.0,0.0,0.0,0.0,0.998046875,2.8885502235562193,36.19300539500546
development,pythia-410m,26091300,1024,trainable,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.878852410409965,37.02282307999849
development,pythia-410m,26091300,1024,frozen,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8716199538286995,36.194808409010875
development,pythia-1.4b,26091300,16,trainable,0.0,0.994140625,0.994140625,0.994140625,0.994140625,0.0,0.0,0.0,0.0,0.0,0.96875,2.623616061491125,99.49411083500308
development,pythia-1.4b,26091300,16,frozen,0.0,0.99609375,0.99609375,0.99609375,0.99609375,0.0,0.0,0.0,0.0,0.0,0.9599609375,2.6245441511565564,96.54105190800328
development,pythia-1.4b,26091300,64,trainable,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9921875,2.6158332862106026,99.41114240601019
development,pythia-1.4b,26091300,64,frozen,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9970703125,2.61512601889816,96.41808175299957
development,pythia-1.4b,26091300,256,trainable,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6202087327545764,99.40468769200379
development,pythia-1.4b,26091300,256,frozen,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.621995222802256,96.49433575899457
development,pythia-1.4b,26091300,1024,trainable,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6195075801774568,99.42023738900025
development,pythia-1.4b,26091300,1024,frozen,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6204391442093193,96.47957932399004
decisive,pythia-410m,26091301,64,trainable,0.0,0.9990234375,0.9990234375,0.9990234375,0.9990234375,0.0,0.0,0.0,0.0,0.0009765625,0.9169921875,2.9159177892348347,37.02623338298872
decisive,pythia-410m,26091301,64,frozen,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.986328125,2.892441603716682,36.24989606899908
decisive,pythia-410m,26091302,64,trainable,0.0,0.9921875,0.9912109375,0.9921875,0.9921875,0.0009765625,0.0,0.0009765625,0.0,0.0009765625,0.9892578125,2.8804544486251533,37.04801823600428
decisive,pythia-410m,26091302,64,frozen,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9716796875,2.87852123484892,36.2363919490017
decisive,pythia-410m,26091303,64,trainable,0.0,0.99609375,0.9951171875,0.99609375,0.99603271484375,0.0009765625,6.103515625e-05,0.00091552734375,0.0,0.0009765625,0.9931640625,2.876320094688266,37.03774264799722
decisive,pythia-410m,26091303,64,frozen,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0009765625,0.96875,2.970341566497204,36.22166086699872
decisive,pythia-410m,26091304,64,trainable,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9970703125,2.8709727118997015,37.04494012700161
decisive,pythia-410m,26091304,64,frozen,0.0,0.9990234375,0.9990234375,0.9990234375,0.9990234375,0.0,0.0,0.0,0.0,0.0009765625,0.9912109375,2.8657589332730162,36.22958734499116
